timestamp,open,high,low,close,volume
2025-06-24T15:00:00.000Z,105517.50000000,105731.92000000,105153.01000000,105244.73000000,693.40867000
2025-06-24T16:00:00.000Z,105244.72000000,106268.00000000,105172.64000000,106225.26000000,1025.54114000
2025-06-24T17:00:00.000Z,106225.25000000,106290.00000000,105609.80000000,106046.69000000,688.95518000
2025-06-24T18:00:00.000Z,106046.69000000,106088.96000000,105523.80000000,105533.73000000,334.55603000
2025-06-24T19:00:00.000Z,105533.73000000,105677.82000000,105270.48000000,105643.19000000,317.34852000
2025-06-24T20:00:00.000Z,105643.20000000,106098.00000000,105435.45000000,106087.30000000,303.16490000
2025-06-24T21:00:00.000Z,106087.30000000,106119.11000000,105729.95000000,105989.05000000,323.30084000
2025-06-24T22:00:00.000Z,105989.04000000,106025.92000000,105734.38000000,106025.39000000,215.34353000
2025-06-24T23:00:00.000Z,106025.39000000,106083.00000000,105774.90000000,106083.00000000,251.76566000
2025-06-25T00:00:00.000Z,106083.00000000,106470.21000000,105808.03000000,106407.34000000,592.29341000
2025-06-25T01:00:00.000Z,106407.34000000,106616.01000000,106016.00000000,106387.43000000,631.33414000
2025-06-25T02:00:00.000Z,106387.42000000,106791.18000000,106300.00000000,106474.58000000,835.01863000
2025-06-25T03:00:00.000Z,106474.58000000,106599.90000000,106216.62000000,106232.01000000,326.44832000
2025-06-25T04:00:00.000Z,106232.01000000,106308.89000000,106001.00000000,106197.56000000,412.73706000
2025-06-25T05:00:00.000Z,106197.55000000,106396.61000000,106037.14000000,106213.72000000,356.85468000
